Customer_ID,Gender,Age_Group,Favorite_Cuisine,Preferred_Shopping_Day,Payment_Mode,Loyalty_Status
C001,Female,Senior,Chinese,Weekend,Card,Gold
C002,Male,Adult,Mexican,Weekday,UPI,Gold
C003,Female,Senior,Chinese,Weekday,UPI,Gold
C004,Female,Adult,Mexican,Weekend,Card,Gold
C005,Female,Adult,Italian,Weekend,UPI,Gold
C006,Male,Teen,Thai,Weekday,Cash,Gold
C007,Female,Adult,Italian,Weekend,Wallet,Platinum
C008,Male,Senior,Thai,Weekend,Wallet,Silver
C009,Male,Adult,Thai,Weekday,Wallet,Platinum
C010,Female,Senior,Mexican,Weekend,Wallet,Silver
C011,Male,Teen,Indian,Weekday,Cash,Gold
C012,Female,Teen,Mexican,Weekend,Cash,Gold
C013,Male,Senior,Indian,Weekend,Wallet,Silver
C014,Female,Teen,Thai,Weekend,Card,Platinum
C015,Male,Adult,American,Weekday,UPI,Silver
C016,Female,Adult,Mexican,Weekday,UPI,Gold
C017,Female,Senior,American,Weekend,UPI,Platinum
C018,Male,Adult,American,Weekend,Cash,Gold
C019,Female,Senior,Thai,Weekend,Card,Platinum
C020,Female,Teen,Indian,Weekend,UPI,Platinum
C021,Female,Adult,Thai,Weekend,Wallet,Gold
C022,Female,Adult,Thai,Weekday,Wallet,Platinum
C023,Female,Senior,American,Weekend,Card,Platinum
C024,Female,Teen,Thai,Weekend,Wallet,Gold
C025,Female,Teen,American,Weekend,Card,Platinum
C026,Male,Senior,Thai,Weekend,UPI,Silver
C027,Female,Senior,Thai,Weekend,UPI,Silver
C028,Female,Senior,Italian,Weekday,Cash,Platinum
C029,Female,Adult,Indian,Weekday,Wallet,Gold
C030,Female,Adult,Italian,Weekend,Cash,Platinum
C031,Female,Adult,Indian,Weekday,Card,Gold
C032,Male,Teen,Indian,Weekend,UPI,Silver
C033,Female,Adult,Indian,Weekday,Wallet,Platinum
C034,Male,Teen,Mexican,Weekend,Cash,Platinum
C035,Female,Senior,Mexican,Weekend,Cash,Gold
C036,Male,Teen,Thai,Weekday,Cash,Silver
C037,Female,Adult,Mexican,Weekend,UPI,Platinum
C038,Female,Senior,Mexican,Weekday,UPI,Silver
C039,Male,Senior,Indian,Weekday,Card,Silver
C040,Male,Adult,Thai,Weekend,Wallet,Gold
C041,Female,Adult,Thai,Weekend,UPI,Platinum
C042,Female,Adult,Chinese,Weekday,Cash,Gold
C043,Female,Teen,Indian,Weekday,Cash,Platinum
C044,Male,Teen,Mexican,Weekend,Wallet,Gold
C045,Male,Teen,Thai,Weekend,Card,Silver
C046,Male,Senior,Indian,Weekend,Card,Platinum
C047,Male,Senior,Mexican,Weekend,Wallet,Platinum
C048,Female,Teen,Chinese,Weekend,Wallet,Platinum
C049,Female,Adult,Indian,Weekday,UPI,Gold
C050,Male,Teen,Mexican,Weekday,Card,Gold
C051,Male,Senior,American,Weekday,Wallet,Gold
C052,Female,Adult,Italian,Weekday,Wallet,Gold
C053,Male,Senior,Thai,Weekend,Cash,Silver
C054,Female,Teen,Indian,Weekday,UPI,Silver
C055,Female,Senior,Chinese,Weekday,Card,Platinum
C056,Male,Senior,Thai,Weekday,Cash,Silver
C057,Female,Adult,Italian,Weekend,Card,Platinum
C058,Male,Teen,Indian,Weekend,Cash,Platinum
C059,Female,Senior,Thai,Weekend,Card,Silver
C060,Female,Adult,Chinese,Weekday,UPI,Silver
C061,Male,Adult,Indian,Weekend,Cash,Silver
C062,Male,Adult,American,Weekday,Card,Platinum
C063,Female,Adult,Mexican,Weekend,Wallet,Silver
C064,Female,Senior,Italian,Weekend,Card,Silver
C065,Female,Teen,American,Weekend,Card,Silver
C066,Male,Adult,Chinese,Weekday,Card,Silver
C067,Male,Adult,Mexican,Weekend,Wallet,Silver
C068,Female,Adult,American,Weekend,Cash,Gold
C069,Female,Adult,American,Weekday,Card,Gold
C070,Female,Teen,Chinese,Weekday,UPI,Silver
C071,Female,Teen,Thai,Weekday,Card,Platinum
C072,Male,Senior,Thai,Weekend,Wallet,Platinum
C073,Female,Teen,Thai,Weekend,UPI,Silver
C074,Female,Teen,Thai,Weekend,Wallet,Silver
C075,Female,Teen,Italian,Weekend,Cash,Platinum
C076,Male,Adult,Chinese,Weekday,Cash,Gold
C077,Female,Adult,American,Weekday,Card,Platinum
C078,Female,Teen,Mexican,Weekday,Card,Silver
C079,Female,Senior,American,Weekday,UPI,Silver
C080,Female,Teen,Chinese,Weekend,Card,Silver
C081,Male,Senior,Chinese,Weekday,UPI,Gold
C082,Male,Adult,Chinese,Weekday,Cash,Platinum
C083,Female,Adult,Mexican,Weekend,Cash,Gold
C084,Male,Adult,American,Weekend,Wallet,Silver
C085,Male,Adult,Mexican,Weekend,Cash,Gold
C086,Male,Adult,Mexican,Weekday,Wallet,Gold
C087,Male,Teen,American,Weekday,UPI,Gold
C088,Male,Adult,Indian,Weekend,Wallet,Silver
C089,Male,Teen,Chinese,Weekend,Cash,Silver
C090,Female,Teen,American,Weekday,Card,Platinum
C091,Male,Teen,Chinese,Weekend,Wallet,Gold
C092,Male,Senior,Chinese,Weekend,UPI,Platinum
C093,Female,Adult,Mexican,Weekend,UPI,Silver
C094,Male,Senior,Thai,Weekend,UPI,Gold
C095,Female,Adult,Mexican,Weekday,Cash,Silver
C096,Male,Teen,Thai,Weekend,Cash,Platinum
C097,Male,Senior,Mexican,Weekend,Wallet,Silver
C098,Male,Teen,Indian,Weekend,UPI,Gold
C099,Male,Senior,Chinese,Weekend,Wallet,Silver
C100,Female,Teen,American,Weekday,Wallet,Gold
