Emp_ID,Department,Experience_Years,Age,Work_Mode,City,Monthly_Salary
E001,Sales,19,58,Hybrid,Hyderabad,87874
E002,Finance,11,33,Remote,Chennai,28155
E003,Operations,18,50,Office,Bangalore,59713
E004,Marketing,20,47,Remote,Delhi,134859
E005,Finance,18,58,Hybrid,Pune,87387
E006,IT,3,48,Hybrid,Mumbai,164706
E007,Finance,22,57,Hybrid,Delhi,107366
E008,Marketing,21,55,Hybrid,Delhi,108286
E009,IT,18,30,Office,Chennai,31780
E010,Finance,16,39,Hybrid,Hyderabad,160935
E011,Finance,24,28,Office,Delhi,103688
E012,Finance,11,24,Office,Bangalore,75207
E013,IT,17,33,Hybrid,Bangalore,68835
E014,Sales,17,46,Hybrid,Bangalore,35364
E015,Operations,19,58,Remote,Hyderabad,91051
E016,Marketing,11,45,Hybrid,Pune,162091
E017,Finance,4,60,Office,Hyderabad,146862
E018,Sales,8,42,Remote,Chennai,74364
E019,HR,18,39,Hybrid,Mumbai,112293
E020,HR,5,48,Remote,Bangalore,114583
E021,HR,23,37,Hybrid,Hyderabad,38476
E022,Finance,19,60,Remote,Chennai,48327
E023,Operations,19,47,Hybrid,Chennai,62161
E024,Marketing,19,33,Office,Chennai,81592
E025,Operations,21,35,Remote,Mumbai,66459
E026,HR,20,25,Remote,Pune,64630
E027,HR,13,44,Remote,Mumbai,69537
E028,Operations,14,26,Remote,Bangalore,141583
E029,IT,2,45,Remote,Bangalore,115459
E030,IT,1,44,Hybrid,Delhi,94229
E031,Operations,10,22,Hybrid,Bangalore,165135
E032,Marketing,1,45,Office,Pune,27621
E033,HR,25,48,Hybrid,Chennai,80612
E034,Finance,15,37,Remote,Chennai,90835
E035,Operations,5,42,Remote,Chennai,144610
E036,Sales,15,41,Hybrid,Delhi,156445
E037,HR,21,40,Remote,Chennai,47582
E038,Operations,3,30,Remote,Pune,151231
E039,Sales,21,52,Office,Hyderabad,105083
E040,Sales,17,26,Office,Mumbai,72643
E041,Finance,20,53,Office,Mumbai,146347
E042,IT,24,27,Office,Hyderabad,97445
E043,Operations,19,32,Hybrid,Delhi,83026
E044,IT,6,38,Office,Delhi,70031
E045,Marketing,10,37,Hybrid,Delhi,178278
E046,Sales,2,55,Hybrid,Pune,45552
E047,IT,24,55,Office,Chennai,54680
E048,Marketing,8,27,Hybrid,Pune,128790
E049,Sales,22,30,Hybrid,Chennai,101500
E050,Operations,10,50,Office,Bangalore,130561
E051,Finance,6,58,Hybrid,Hyderabad,159158
E052,Operations,6,33,Hybrid,Bangalore,62177
E053,Operations,19,32,Remote,Mumbai,158304
E054,Marketing,2,50,Office,Mumbai,47713
E055,Operations,17,54,Hybrid,Delhi,92119
E056,IT,11,59,Hybrid,Chennai,122800
E057,IT,15,54,Office,Mumbai,160772
E058,Marketing,19,56,Office,Chennai,152256
E059,Finance,11,27,Office,Pune,125039
E060,Finance,25,47,Remote,Hyderabad,84563
E061,Sales,22,28,Remote,Mumbai,177733
E062,Finance,19,44,Hybrid,Mumbai,51170
E063,HR,8,48,Office,Delhi,94450
E064,HR,11,58,Office,Mumbai,53802
E065,IT,24,35,Remote,Chennai,127626
E066,Operations,21,27,Office,Delhi,149077
E067,HR,17,58,Office,Hyderabad,89907
E068,IT,9,39,Hybrid,Chennai,53699
E069,HR,19,42,Office,Hyderabad,100241
E070,Finance,7,22,Hybrid,Pune,122084
E071,HR,17,22,Office,Delhi,120284
E072,Marketing,8,22,Remote,Pune,167117
E073,Marketing,8,22,Hybrid,Mumbai,56029
E074,Marketing,6,34,Office,Pune,110032
E075,IT,13,46,Remote,Bangalore,70444
E076,Operations,24,45,Remote,Bangalore,67544
E077,Finance,7,51,Remote,Delhi,95719
E078,Finance,15,23,Remote,Chennai,155338
E079,Finance,13,60,Office,Chennai,73796
E080,HR,4,23,Hybrid,Pune,63661
E081,Finance,2,23,Hybrid,Hyderabad,43171
E082,Finance,22,41,Remote,Bangalore,145023
E083,Marketing,12,38,Office,Hyderabad,92579
E084,IT,7,31,Office,Bangalore,29469
E085,HR,22,60,Hybrid,Pune,64442
E086,Sales,17,51,Remote,Hyderabad,153134
E087,Finance,5,56,Hybrid,Mumbai,35664
E088,HR,9,50,Office,Bangalore,124738
E089,Operations,10,32,Office,Pune,133875
E090,HR,15,40,Office,Hyderabad,83795
E091,Marketing,15,46,Remote,Delhi,74727
E092,Operations,10,59,Office,Pune,123125
E093,HR,20,54,Office,Bangalore,138383
E094,Marketing,1,58,Remote,Pune,72081
E095,Marketing,4,28,Hybrid,Bangalore,56576
E096,HR,19,45,Remote,Hyderabad,118106
E097,Operations,6,34,Remote,Pune,72223
E098,Sales,3,55,Office,Hyderabad,71695
E099,Operations,11,28,Office,Bangalore,101501
E100,Marketing,1,41,Hybrid,Chennai,100718
